position,equipe,points,victoires,nulls,défaites,bo,bd,journee
4,Stade Français,31,6,0,5,4,3,11
5,Bayonne,30,7,0,4,2,0,11
6,Bordeaux-Bègles,29,6,0,5,3,2,11
7,Montpellier,28,5,1,5,4,2,11
8,Castres,28,6,0,5,1,3,11
9,Clermont,27,6,0,5,3,0,11
10,La Rochelle,26,5,0,6,3,3,11
11,Racing 92,26,6,0,5,1,1,11
12,Lyon,23,5,0,6,2,1,11
13,Montauban,7,1,1,9,0,1,11
14,Perpignan,1,0,0,11,0,1,11
1,Pau,42,9,0,3,5,1,12
2,Stade Toulousain,42,9,0,3,7,1,12
3,Bordeaux-Bègles,34,7,0,5,4,2,12
4,Toulon,34,7,0,5,5,1,12
5,Stade Français,33,6,1,5,4,3,12
6,Montpellier,32,6,1,5,4,2,12
7,La Rochelle,31,6,0,6,4,3,12
8,Bayonne,30,7,0,5,2,0,12
9,Castres,29,6,0,6,1,4,12
10,Racing 92,28,6,1,5,1,1,12
11,Clermont,27,6,0,6,3,0,12
12,Lyon,23,5,0,7,2,1,12
13,Montauban,7,1,1,10,0,1,12
14,Perpignan,5,1,0,11,0,1,12
1,Stade Toulousain,47,10,0,3,8,1,13
2,Pau,46,10,0,3,5,1,13
3,Toulon,39,8,0,5,6,1,13
4,Stade Français,34,6,1,6,4,4,13
5,Bordeaux-Bègles,34,7,0,6,4,2,13
6,Bayonne,34,8,0,5,2,0,13
7,Racing 92,33,7,1,5,2,1,13
8,Castres,33,7,0,6,1,4,13
9,Montpellier,33,6,1,6,4,3,13
10,La Rochelle,31,6,0,7,4,3,13
11,Clermont,31,7,0,6,3,0,13
12,Lyon,23,5,0,8,2,1,13
13,Montauban,7,1,1,11,0,1,13
14,Perpignan,5,1,0,12,0,1,13
1,Stade Toulousain,48,10,0,4,8,2,14
2,Pau,47,10,0,4,5,2,14
3,Stade Français,39,7,1,6,5,4,14
4,Bordeaux-Bègles,39,8,0,6,5,2,14
5,Toulon,39,8,0,6,6,1,14
6,Montpellier,38,7,1,6,5,3,14
7,La Rochelle,36,7,0,7,5,3,14
8,Clermont,36,8,0,6,4,0,14
9,Bayonne,34,8,0,6,2,0,14
10,Castres,33,7,0,7,1,4,14
11,Racing 92,33,7,1,6,2,1,14
12,Lyon,27,6,0,8,2,1,14
13,Perpignan,9,2,0,12,0,1,14
14,Montauban,7,1,1,12,0,1,14
1,Stade Toulousain,53,11,0,4,9,2,15
2,Pau,47,10,0,5,5,2,15
3,Stade Français,43,8,1,6,5,4,15
4,Toulon,43,9,0,6,6,1,15
5,Clermont,40,9,0,6,4,0,15
6,Bordeaux-Bègles,40,8,0,7,5,3,15
7,Montpellier,39,7,1,7,5,4,15
8,Castres,37,8,0,7,1,4,15
9,La Rochelle,37,7,0,8,5,4,15
10,Racing 92,37,8,1,6,2,1,15
11,Bayonne,35,8,0,7,2,1,15
12,Lyon,28,6,0,9,2,2,15
13,Perpignan,14,3,0,12,1,1,15
14,Montauban,7,1,1,13,0,1,15
1,Stade Toulousain,58,12,0,4,10,2,16
2,Pau,51,11,0,5,5,2,16
3,Bordeaux-Bègles,45,9,0,7,6,3,16
4,Montpellier,44,8,1,7,6,4,16
5,Stade Français,43,8,1,7,5,4,16
6,Toulon,43,9,0,7,6,1,16
7,Castres,41,9,0,7,1,4,16
8,Clermont,41,9,0,7,4,1,16
9,Racing 92,41,9,1,6,2,1,16
10,La Rochelle,37,7,0,9,5,4,16
11,Bayonne,35,8,0,8,2,1,16
12,Lyon,32,7,0,9,2,2,16
13,Perpignan,14,3,0,13,1,1,16
14,Montauban,7,1,1,14,0,1,16
1,Stade Toulousain,62,13,0,4,10,2,17
2,Pau,51,11,0,6,5,2,17
3,Bordeaux-Bègles,50,10,0,7,7,3,17
4,Montpellier,48,9,1,7,6,4,17
5,Clermont,46,10,0,7,5,1,17
6,Racing 92,45,10,1,6,2,1,17
7,Stade Français,44,8,1,8,5,5,17
8,Toulon,43,9,0,8,6,1,17
9,Castres,41,9,0,8,1,4,17
10,La Rochelle,37,7,0,10,5,4,17
11,Lyon,37,8,0,9,3,2,17
12,Bayonne,36,8,0,9,2,2,17
13,Perpignan,18,4,0,13,1,1,17
14,Montauban,7,1,1,15,0,1,17
1,Stade Toulousain,67,14,0,4,11,2,18
2,Pau,55,12,0,6,5,2,18
3,Montpellier,53,10,1,7,7,4,18
4,Clermont,51,11,0,7,6,1,18
5,Bordeaux-Bègles,50,10,0,8,7,3,18
6,Stade Français,49,9,1,8,6,5,18
7,Toulon,45,9,1,8,6,1,18
8,Racing 92,45,10,1,7,2,1,18
9,Castres,42,9,0,9,1,5,18
10,La Rochelle,41,8,0,10,5,4,18
11,Lyon,39,8,1,9,3,2,18
12,Bayonne,36,8,0,10,2,2,18
13,Perpignan,18,4,0,14,1,1,18
14,Montauban,7,1,1,16,0,1,18
1,Stade Toulousain,67,14,0,5,11,2,19
2,Montpellier,57,11,1,7,7,4,19
3,Pau,55,12,0,7,5,2,19
4,Bordeaux-Bègles,55,11,0,8,8,3,19
5,Stade Français,54,10,1,8,7,5,19
6,Clermont,52,11,0,8,6,2,19
7,Racing 92,50,11,1,7,3,1,19
